,362,"Klučka Jaroslav, JUDr.",,Okresná prokuratúra,Nové Zámky,1
,363,"Klučková Lucia, JUDr.",,,,0
,364,"Kmec Ľuboš, JUDr.",,,,0
,365,"Kmeč Maximilián, Mgr.",,,,0
,366,"Kmeč Miroslav, JUDr.",,,,0
,367,"Kmeťová Janka, JUDr.",námestníčka krajského prokurátora pre netrestný úsek,Krajská prokuratúra,Nitra,1
,368,"Kmeťová Justína, JUDr.",Poverená výkonom funkcie námestníčky okresného prokurátora,Okresná prokuratúra,Vranov nad Topľou,1
,369,"Knošková Andrea, Mgr.",,,,0
,370,"Kocianová Katarína, JUDr.",,,,0
,371,"Kocúr Jaroslav, JUDr.",Poverený výkonom funkcie okresného prokurátora,Okresná prokuratúra,Námestovo,1
,372,"Kocúrová Katarína, JUDr.",,,,0
,373,"Kočan Jozef, JUDr.",,,,0
,374,"Kohan Miroslav, JUDr.",,Okresná prokuratúra,Trebišov,1
,375,"Kohútová Zuzana, JUDr.",,,,0
,376,"Kokavec Roman, JUDr.",,,,0
,377,"Kokles Martin, JUDr.",Poverený výkonom funkcie námestníka okresnej prokurátorky,Okresná prokuratúra,Dolný Kubín,1
,378,"Kokošková Zuzana, JUDr.",,,,0
,379,"Kolcunová Marta, JUDr.",,,,0
,380,"Kolenčíková Karin Martha, JUDr.",Poverená výkonom námestníčky okresného prokurátora,Okresná prokuratúra,Nitra,1
,381,"Kolka Ľubomír, JUDr.",,,,0
,382,"Kollár Marián, JUDr.",,,,0
,383,"Kollárová Silvia, Mgr.",,,,0
,384,"Komora Daniel, JUDr.",,,,0
,385,"Kondrk Milan, JUDr.",,,,0
,386,"Konečný Branislav, JUDr.",,Okresná prokuratúra,Martin,1
,387,"Konkolovský Marián, JUDr.",,,,0
,388,"Konkolyová Erika, JUDr.",,,,0
,389,"Konopová Eva, Mgr.",,Okresná prokuratúra,Prievidza,1
,390,"Kopčová Iveta, JUDr.",,,,0
,391,"Kopernická Jana, JUDr. PhD.",,,,0
,392,"Koreň Pavol, JUDr.",Poverený výkonom funkcie okresného prokurátora,Okresná prokuratúra,Rožňava,1
,393,"Korman Stanislav, Mgr.",,,,0
,394,"Koromház Peter, JUDr.",,Krajská prokuratúra,Košice,1
,395,"Kostiviarová Lea, JUDr.",,,,0
,396,"Kostor Marek, JUDr.",,,,0
,397,"Kostrej Dušan, JUDr.",,,,0
,398,"Koščo Peter, JUDr.",,,,0
,399,"Koteková Monika, JUDr.",,,,0
,400,"Kotrusová Adela, JUDr.",,,,0
,401,"Kováč Martin, JUDr.",,Okresná prokuratúra,Martin,1
,402,"Kováč Martin, JUDr. Mgr.",,,,0
,403,"Kováč Milan, JUDr.",,,,0
,404,"Kováč Miloš, Mgr.",Poverený výkonom okresného prokurátora,Okresná prokuratúra,Čadca,1
,405,"Kovačicová Sylvia, Mgr.",,,,0
,406,"Kováčik Dušan, JUDr. PhD.",Špeciálny prokurátor - námestník generálneho prokurátora,Úrad Špeciálnej prokuratúry,Generálna prokuratúra,1
,407,"Kováčik Jozef, JUDr.",,,,0
,408,"Kováčik Jozef, JUDr. Ing.",,Okresná prokuratúra,Prievidza,1
,409,"Kováčik Ondrej, JUDr.",,Okresná prokuratúra,Trenčín,1
,410,"Kováčiková Viera, JUDr.",,Krajská prokuratúra,Trenčín,1
,411,"Kováčová Alica, Mgr. PhD.",,,,0
,412,"Kováčová Janka, JUDr.",,,,0
,413,"Kováčová Ľubomíra, JUDr.",,,,0
,414,"Kováčová Marcela, JUDr.",,,,0
,415,"Kováčová Martina, JUDr.",,,,0
,416,"Kovalik Martin, JUDr.",,,,0
,417,"Kovalová Valéria, JUDr.",,Okresná prokuratúra,Trebišov,1
,418,"Kovarčíková Lucia, JUDr.",,,,0
,419,"Kozárová Adriana, JUDr.",,,,0
,420,"Kozolka Jaroslav, JUDr.",,,,0
,421,"Krajčovič Peter, Mgr.",,,,0
,422,Krajčovičová Jarmila,Vedúca organizačného a personálneho oddelenia,Krajská prokuratúra,Žilina,1
,423,"Krakovský Tomáš, JUDr.",Poverený výkonom funkcie námestníka okresnej prokurátorky,Okresná prokuratúra,Komárno,1
,424,"Králik Martin, JUDr.",,,,0
,425,"Králiková Soňa, JUDr.",,,,0
,426,"Králiková Valéria, JUDr.",Poverená výkonom námestníčky okresného prokurátora,Okresná prokuratúra,Veľký Krtíš,1
,427,Kralj Andrea,,,,0
,428,"Krausová Katarína, JUDr.",,Okresná prokuratúra,Trebišov,1
,429,"Kresánek Michal, JUDr.",,,,0
,430,"Krieger Jaroslav, JUDr.",,,,0
,431,"Kríž Ľuboš, JUDr.",,,,0
,432,"Križanová Zuzana, JUDr.",,,,0
,433,"Križka Dušan, JUDr.",,,,0
,434,"Krížovská Martina, JUDr.",,Krajská prokuratúra,Trenčín,1
,435,"Kročian Branislav, JUDr.",,,,0
,436,"Krokvička Vlastimil, JUDr.",,,,0
,437,"Krúpa Roman, Mgr.",,,,0
,438,"Kubala Viktor, JUDr. PhD.",,,,0
,439,"Kubalová Viera, Mgr.",vedúca netrestného oddelenia,Krajská prokuratúra,Žilina,1
,440,"Kubančíková Eva, JUDr.",Poverená výkonom funkcie okresnej prokurátorky,Okresná prokuratúra,Zvolen,1
,441,"Kubička Remig, JUDr.",,,,0
,442,"Kubík Ján, JUDr.",,,,0
,443,"Kubjatková Zuzana, Mgr.",,,,0
,444,"Kučera Milan, JUDr.",,Krajská prokuratúra,Trenčín,1
,445,"Kučerková Katarína, JUDr.",,,,0
,446,"Kučerová Erika, Mgr.",,,,0
,447,"Kuchár Ľubomír, JUDr.",,,,0
,448,"Kuka Róbert, JUDr.",,Okresná prokuratúra,Trebišov,1
,449,"Kukanová Eva, Mgr.",Riaditeľka odboru legislatívy a ústavného práva,Generálna prokuratúra,,1
,450,"Kuko Kristián, Mgr.",,,,0
,451,"Kulik Peter, JUDr.",,,,0
,452,"Kuljačková Katarína, JUDr.",,,,0
,453,"Kundrát Alexander, Mgr.",,,,0
,454,"Kundrátová Mária, Mgr.",,,,0
,455,"Kunová Alena, JUDr.",,,,0
,456,"Kupcová Jana, JUDr.",,,,0
,457,"Kupcová Janka, JUDr.",,,,0
,458,"Kupec Branislav, JUDr.",,,,0
,459,"Kurcinová Zuzana, JUDr.",,,,0
,460,"Kuril Matúš, JUDr.",,,,0
,461,"Kuruc Maroš, Mgr.",,,,0
