,judge,Vybavenosť,Reštančné z nevybavených,Kapacita vybavovať,Potvrdené rozhodnutia
502,JUDr. Peter Mén,6,6,9,8
503,JUDr. Peter Philadelphy,6,8,10,4
504,JUDr. Peter Pulman,6,9,10,5
505,JUDr. Peter Rajňák,0,5,2,4
506,JUDr. Peter Šuťák,5,4,9,4
507,JUDr. Peter Zachar,5,10,10,7
508,JUDr. Petra Priečinská,8,6,8,7
509,JUDr. PhD. Lenka Müllerová,9,6,7,8
510,JUDr. Radoslav Baláž,4,6,7,5
511,JUDr. Radoslav Rusnák,6,4,10,7
512,"JUDr. Radoslav Svitana, PhD.",9,6,7,8
513,JUDr. Radovan Groman,2,3,0,3
514,JUDr. Rastislav Dlugoš,5,3,7,5
515,JUDr. Rastislav Jakubovič,4,6,4,1
516,JUDr. Rastislav Kresl,0,4,7,6
517,JUDr. Rastislav Pella,7,4,5,3
518,JUDr. Rastislav Plutinský,9,6,9,5
519,JUDr. Rastislav Sikorjak,6,6,5,8
520,JUDr. Rastislav Stieranka,7,8,9,4
521,JUDr. Rastislav Varga,7,6,10,6
522,JUDr. Renáta Audová,7,8,9,1
523,JUDr. Renáta Kňazúrová,4,8,8,6
524,JUDr. Renáta Mihalíková,10,0,4,4
525,JUDr. Renáta Nemčeková PhD.,8,9,6,6
526,JUDr. Renáta Sýkorová,1,7,6,7
527,JUDr. Renáta Šulajová,7,9,10,8
528,JUDr. Renáta Topolčanská,5,3,4,6
529,JUDr. René Milták,3,1,0,1
530,JUDr. René Štepánik,0,7,5,4
531,JUDr. Richard Bureš,0,3,6,1
532,JUDr. Róbert Jankovský,7,7,9,4
533,JUDr. Róbert Matulák,7,6,7,7
534,JUDr. Robert Šorl PhD.,4,1,8,7
535,JUDr. Róbert Záhorák,1,6,2,0
536,JUDr. Róbert Zsiga,8,6,6,6
537,JUDr. Roland Kemény,8,0,7,3
538,JUDr. Roman Benedikovič,2,4,7,3
539,JUDr. Roman Farkaš,7,6,9,1
540,JUDr. Roman Fitt,6,3,7,3
541,JUDr. Roman Majerský,1,2,3,5
542,JUDr. Roman Reištetter,4,10,8,7
543,JUDr. Sandra Veľká,6,4,5,4
544,JUDr. Silvia Gandelová,6,6,6,7
545,JUDr. Silvia Minková,6,5,4,2
546,JUDr. Silvia Šviderská,7,5,7,7
547,JUDr. Silvia Walterová,5,8,6,4
548,"JUDr. Silvio Boleček, PhD.",0,10,6,7
549,JUDr. Slávka Petrovičová,2,7,4,5
550,JUDr. Slavomír Cimerman,10,3,8,4
551,JUDr. Slavomír Harmóci,6,10,10,5
552,JUDr. Slavomír Ivanecký,2,3,6,5
553,JUDr. Soňa Mihaľáková,8,5,9,3
554,JUDr. Soňa Vacková,4,9,3,9
555,JUDr. Stanislav Dutko,7,3,8,3
